poly cost,gaus cost,sigm cost
0.108048,0.0747487,0.0727117
0.10792,0.0746818,0.0726534
0.107793,0.0746152,0.0725953
0.107666,0.0745488,0.0725374
0.10754,0.0744828,0.0724797
0.107414,0.0744169,0.0724223
0.107288,0.0743514,0.0723651
0.107163,0.0742861,0.0723082
0.107039,0.0742211,0.0722514
0.106915,0.0741564,0.0721949
0.106791,0.0740919,0.0721387
0.106668,0.0740277,0.0720826
0.106545,0.0739638,0.0720268
0.106423,0.0739001,0.0719712
0.106301,0.0738366,0.0719158
0.106179,0.0737735,0.0718607
0.106058,0.0737105,0.0718057
0.105937,0.0736479,0.071751
0.105817,0.0735854,0.0716965
0.105697,0.0735233,0.0716422
0.105578,0.0734614,0.0715881
0.105459,0.0733997,0.0715342
0.10534,0.0733382,0.0714805
0.105222,0.0732771,0.0714271
0.105104,0.0732161,0.0713738
0.104987,0.0731554,0.0713208
0.10487,0.073095,0.071268
0.104753,0.0730347,0.0712153
0.104637,0.0729747,0.0711629
0.104521,0.072915,0.0711107
0.104406,0.0728555,0.0710587
0.104291,0.0727962,0.0710068
0.104177,0.0727371,0.0709552
0.104062,0.0726783,0.0709038
0.103949,0.0726197,0.0708525
0.103835,0.0725613,0.0708015
0.103722,0.0725032,0.0707506
0.103609,0.0724453,0.0707
0.103497,0.0723876,0.0706495
0.103385,0.0723301,0.0705992
0.103274,0.0722728,0.0705492
0.103163,0.0722158,0.0704993
0.103052,0.072159,0.0704495
0.102941,0.0721024,0.0704
0.102831,0.072046,0.0703507
0.102722,0.0719898,0.0703015
0.102612,0.0719339,0.0702526
0.102503,0.0718781,0.0702038
0.102395,0.0718226,0.0701552
0.102287,0.0717672,0.0701067
0.102179,0.0717121,0.0700585
0.102071,0.0716572,0.0700104
0.101964,0.0716025,0.0699625
0.101857,0.071548,0.0699148
0.101751,0.0714937,0.0698672
0.101645,0.0714396,0.0698199
0.101539,0.0713857,0.0697727
0.101433,0.071332,0.0697256
0.101328,0.0712785,0.0696788
0.101224,0.0712252,0.0696321
0.101119,0.0711721,0.0695856
0.101015,0.0711192,0.0695392
0.100911,0.0710664,0.069493
0.100808,0.0710139,0.069447
0.100705,0.0709616,0.0694012
0.100602,0.0709094,0.0693555
0.1005,0.0708575,0.06931
0.100398,0.0708057,0.0692646
0.100296,0.0707542,0.0692194
0.100194,0.0707028,0.0691744
0.100093,0.0706516,0.0691295
0.0999924,0.0706006,0.0690848
0.0998919,0.0705497,0.0690402
0.0997918,0.0704991,0.0689958
0.0996919,0.0704486,0.0689516
0.0995924,0.0703983,0.0689075
0.0994931,0.0703482,0.0688635
